手臂運動分析報告
==================================================

影片資訊:
解析度: 1280x720
幀率: 31.0 FPS
總幀數: 127
檔案大小: 4.94 MB

運動數據:
手掌最大速度: 11.65 m/s
手掌平均速度: 1.49 m/s
手肘最大速度: 7.83 m/s
手肘平均速度: 1.00 m/s
最大角度: 180.0 度
最小角度: 0.0 度

時間點分析:
時間 0.00s: 手掌速度 0.00 m/s, 手肘速度 0.00 m/s, 角度 162.6 度
時間 0.03s: 手掌速度 0.00 m/s, 手肘速度 0.20 m/s, 角度 164.4 度
時間 0.06s: 手掌速度 0.00 m/s, 手肘速度 0.09 m/s, 角度 165.2 度
時間 0.10s: 手掌速度 0.13 m/s, 手肘速度 0.00 m/s, 角度 165.5 度
時間 0.13s: 手掌速度 0.09 m/s, 手肘速度 0.09 m/s, 角度 167.7 度
時間 0.16s: 手掌速度 0.09 m/s, 手肘速度 0.09 m/s, 角度 169.0 度
時間 0.19s: 手掌速度 0.27 m/s, 手肘速度 0.00 m/s, 角度 170.5 度
時間 0.23s: 手掌速度 0.27 m/s, 手肘速度 0.09 m/s, 角度 172.2 度
時間 0.26s: 手掌速度 0.20 m/s, 手肘速度 0.09 m/s, 角度 173.7 度
時間 0.29s: 手掌速度 0.09 m/s, 手肘速度 0.00 m/s, 角度 175.0 度
時間 0.32s: 手掌速度 0.09 m/s, 手肘速度 0.00 m/s, 角度 175.6 度
時間 0.35s: 手掌速度 0.09 m/s, 手肘速度 0.00 m/s, 角度 176.4 度
時間 0.39s: 手掌速度 0.20 m/s, 手肘速度 0.00 m/s, 角度 175.9 度
時間 0.42s: 手掌速度 0.20 m/s, 手肘速度 0.13 m/s, 角度 176.0 度
時間 0.45s: 手掌速度 0.00 m/s, 手肘速度 0.00 m/s, 角度 175.3 度
時間 0.48s: 手掌速度 0.00 m/s, 手肘速度 0.00 m/s, 角度 175.3 度
時間 0.52s: 手掌速度 0.00 m/s, 手肘速度 0.00 m/s, 角度 174.6 度
時間 0.55s: 手掌速度 0.09 m/s, 手肘速度 0.00 m/s, 角度 175.2 度
時間 0.58s: 手掌速度 0.09 m/s, 手肘速度 0.00 m/s, 角度 175.9 度
時間 0.61s: 手掌速度 0.00 m/s, 手肘速度 0.00 m/s, 角度 175.9 度
時間 0.65s: 手掌速度 0.00 m/s, 手肘速度 0.09 m/s, 角度 175.3 度
時間 0.68s: 手掌速度 0.00 m/s, 手肘速度 0.00 m/s, 角度 175.3 度
時間 0.71s: 手掌速度 0.00 m/s, 手肘速度 0.00 m/s, 角度 174.7 度
時間 0.74s: 手掌速度 0.09 m/s, 手肘速度 0.09 m/s, 角度 175.3 度
時間 0.77s: 手掌速度 0.09 m/s, 手肘速度 0.00 m/s, 角度 175.4 度
時間 0.81s: 手掌速度 0.20 m/s, 手肘速度 0.13 m/s, 角度 177.3 度
時間 0.84s: 手掌速度 0.27 m/s, 手肘速度 0.00 m/s, 角度 177.9 度
時間 0.87s: 手掌速度 0.28 m/s, 手肘速度 0.00 m/s, 角度 178.2 度
時間 0.90s: 手掌速度 0.09 m/s, 手肘速度 0.18 m/s, 角度 177.5 度
時間 0.94s: 手掌速度 0.18 m/s, 手肘速度 0.18 m/s, 角度 176.8 度
時間 0.97s: 手掌速度 0.36 m/s, 手肘速度 0.27 m/s, 角度 178.2 度
時間 1.00s: 手掌速度 0.45 m/s, 手肘速度 0.36 m/s, 角度 179.8 度
時間 1.03s: 手掌速度 0.28 m/s, 手肘速度 0.28 m/s, 角度 179.5 度
時間 1.06s: 手掌速度 0.00 m/s, 手肘速度 0.36 m/s, 角度 177.5 度
時間 1.10s: 手掌速度 0.54 m/s, 手肘速度 0.36 m/s, 角度 178.8 度
時間 1.13s: 手掌速度 0.54 m/s, 手肘速度 0.63 m/s, 角度 180.0 度
時間 1.16s: 手掌速度 0.72 m/s, 手肘速度 0.32 m/s, 角度 174.7 度
時間 1.19s: 手掌速度 0.45 m/s, 手肘速度 0.46 m/s, 角度 174.1 度
時間 1.23s: 手掌速度 0.57 m/s, 手肘速度 0.13 m/s, 角度 170.0 度
時間 1.26s: 手掌速度 0.65 m/s, 手肘速度 0.32 m/s, 角度 163.7 度
時間 1.29s: 手掌速度 0.57 m/s, 手肘速度 0.18 m/s, 角度 157.5 度
時間 1.32s: 手掌速度 0.63 m/s, 手肘速度 0.36 m/s, 角度 149.8 度
時間 1.35s: 手掌速度 0.46 m/s, 手肘速度 0.20 m/s, 角度 145.0 度
時間 1.39s: 手掌速度 0.37 m/s, 手肘速度 0.13 m/s, 角度 139.8 度
時間 1.42s: 手掌速度 0.20 m/s, 手肘速度 1.52 m/s, 角度 129.7 度
時間 1.45s: 手掌速度 0.13 m/s, 手肘速度 0.81 m/s, 角度 127.1 度
時間 1.48s: 手掌速度 0.09 m/s, 手肘速度 0.57 m/s, 角度 128.6 度
時間 1.52s: 手掌速度 0.00 m/s, 手肘速度 0.54 m/s, 角度 129.6 度
時間 1.55s: 手掌速度 0.20 m/s, 手肘速度 1.65 m/s, 角度 108.5 度
時間 1.58s: 手掌速度 0.25 m/s, 手肘速度 0.36 m/s, 角度 107.8 度
時間 1.61s: 手掌速度 1.08 m/s, 手肘速度 2.12 m/s, 角度 93.5 度
時間 1.65s: 手掌速度 0.54 m/s, 手肘速度 2.39 m/s, 角度 107.7 度
時間 1.68s: 手掌速度 0.65 m/s, 手肘速度 0.57 m/s, 角度 110.2 度
時間 1.71s: 手掌速度 0.54 m/s, 手肘速度 1.32 m/s, 角度 119.3 度
時間 1.74s: 手掌速度 1.24 m/s, 手肘速度 1.16 m/s, 角度 119.4 度
時間 1.77s: 手掌速度 0.57 m/s, 手肘速度 0.63 m/s, 角度 123.6 度
時間 1.81s: 手掌速度 0.57 m/s, 手肘速度 0.27 m/s, 角度 118.1 度
時間 1.84s: 手掌速度 0.20 m/s, 手肘速度 0.36 m/s, 角度 120.6 度
時間 1.87s: 手掌速度 0.13 m/s, 手肘速度 0.72 m/s, 角度 119.5 度
時間 1.90s: 手掌速度 0.28 m/s, 手肘速度 0.57 m/s, 角度 124.3 度
時間 1.94s: 手掌速度 0.32 m/s, 手肘速度 0.80 m/s, 角度 130.9 度
時間 1.97s: 手掌速度 0.28 m/s, 手肘速度 0.09 m/s, 角度 132.7 度
時間 2.00s: 手掌速度 0.45 m/s, 手肘速度 0.45 m/s, 角度 134.7 度
時間 2.03s: 手掌速度 1.36 m/s, 手肘速度 0.89 m/s, 角度 140.9 度
時間 2.06s: 手掌速度 1.18 m/s, 手肘速度 2.41 m/s, 角度 134.8 度
時間 2.10s: 手掌速度 2.77 m/s, 手肘速度 2.52 m/s, 角度 158.5 度
時間 2.13s: 手掌速度 2.42 m/s, 手肘速度 1.19 m/s, 角度 154.5 度
時間 2.16s: 手掌速度 0.76 m/s, 手肘速度 0.57 m/s, 角度 159.5 度
時間 2.19s: 手掌速度 1.56 m/s, 手肘速度 1.47 m/s, 角度 146.1 度
時間 2.23s: 手掌速度 2.41 m/s, 手肘速度 0.28 m/s, 角度 53.9 度
時間 2.26s: 手掌速度 2.88 m/s, 手肘速度 0.18 m/s, 角度 10.5 度
時間 2.29s: 手掌速度 2.78 m/s, 手肘速度 1.07 m/s, 角度 6.4 度
時間 2.32s: 手掌速度 0.90 m/s, 手肘速度 0.72 m/s, 角度 3.6 度
時間 2.35s: 手掌速度 0.20 m/s, 手肘速度 0.32 m/s, 角度 0.8 度
時間 2.39s: 手掌速度 0.48 m/s, 手肘速度 0.28 m/s, 角度 0.0 度
時間 2.42s: 手掌速度 1.56 m/s, 手肘速度 0.45 m/s, 角度 4.2 度
時間 2.45s: 手掌速度 1.17 m/s, 手肘速度 0.28 m/s, 角度 3.9 度
時間 2.48s: 手掌速度 0.57 m/s, 手肘速度 0.46 m/s, 角度 14.6 度
時間 2.52s: 手掌速度 1.98 m/s, 手肘速度 1.22 m/s, 角度 14.7 度
時間 2.55s: 手掌速度 1.56 m/s, 手肘速度 1.02 m/s, 角度 18.1 度
時間 2.58s: 手掌速度 1.79 m/s, 手肘速度 1.26 m/s, 角度 4.5 度
時間 2.61s: 手掌速度 2.15 m/s, 手肘速度 1.98 m/s, 角度 16.7 度
時間 2.65s: 手掌速度 2.78 m/s, 手肘速度 0.48 m/s, 角度 11.2 度
時間 2.68s: 手掌速度 3.62 m/s, 手肘速度 2.06 m/s, 角度 40.2 度
時間 2.71s: 手掌速度 3.40 m/s, 手肘速度 0.84 m/s, 角度 76.1 度
時間 2.74s: 手掌速度 3.21 m/s, 手肘速度 1.52 m/s, 角度 91.4 度
時間 2.77s: 手掌速度 4.12 m/s, 手肘速度 5.75 m/s, 角度 44.6 度
時間 2.81s: 手掌速度 2.86 m/s, 手肘速度 5.61 m/s, 角度 39.0 度
時間 2.84s: 手掌速度 6.46 m/s, 手肘速度 7.83 m/s, 角度 112.4 度
時間 2.87s: 手掌速度 11.65 m/s, 手肘速度 7.63 m/s, 角度 82.0 度
時間 2.90s: 手掌速度 10.77 m/s, 手肘速度 3.48 m/s, 角度 5.5 度
時間 2.94s: 手掌速度 8.55 m/s, 手肘速度 2.38 m/s, 角度 31.3 度
