Arm Movement Analysis Report
==================================================

Video Information:
Resolution: 1280x720
Frame Rate: 31.0 FPS
Total Frames: 127
File Size: 4.94 MB

Movement Data:
Max Wrist Speed: 11.65 m/s
Avg Wrist Speed: 1.49 m/s
Max Elbow Speed: 7.83 m/s
Avg Elbow Speed: 1.00 m/s
Max Angle: 180.0 degrees
Min Angle: 0.0 degrees

Time Point Analysis:
Time 0.00s: Wrist Speed 0.00 m/s, Elbow Speed 0.00 m/s, Angle 162.6 degrees
Time 0.03s: Wrist Speed 0.00 m/s, Elbow Speed 0.20 m/s, Angle 164.4 degrees
Time 0.06s: Wrist Speed 0.00 m/s, Elbow Speed 0.09 m/s, Angle 165.2 degrees
Time 0.10s: Wrist Speed 0.13 m/s, Elbow Speed 0.00 m/s, Angle 165.5 degrees
Time 0.13s: Wrist Speed 0.09 m/s, Elbow Speed 0.09 m/s, Angle 167.7 degrees
Time 0.16s: Wrist Speed 0.09 m/s, Elbow Speed 0.09 m/s, Angle 169.0 degrees
Time 0.19s: Wrist Speed 0.27 m/s, Elbow Speed 0.00 m/s, Angle 170.5 degrees
Time 0.23s: Wrist Speed 0.27 m/s, Elbow Speed 0.09 m/s, Angle 172.2 degrees
Time 0.26s: Wrist Speed 0.20 m/s, Elbow Speed 0.09 m/s, Angle 173.7 degrees
Time 0.29s: Wrist Speed 0.09 m/s, Elbow Speed 0.00 m/s, Angle 175.0 degrees
Time 0.32s: Wrist Speed 0.09 m/s, Elbow Speed 0.00 m/s, Angle 175.6 degrees
Time 0.35s: Wrist Speed 0.09 m/s, Elbow Speed 0.00 m/s, Angle 176.4 degrees
Time 0.39s: Wrist Speed 0.20 m/s, Elbow Speed 0.00 m/s, Angle 175.9 degrees
Time 0.42s: Wrist Speed 0.20 m/s, Elbow Speed 0.13 m/s, Angle 176.0 degrees
Time 0.45s: Wrist Speed 0.00 m/s, Elbow Speed 0.00 m/s, Angle 175.3 degrees
Time 0.48s: Wrist Speed 0.00 m/s, Elbow Speed 0.00 m/s, Angle 175.3 degrees
Time 0.52s: Wrist Speed 0.00 m/s, Elbow Speed 0.00 m/s, Angle 174.6 degrees
Time 0.55s: Wrist Speed 0.09 m/s, Elbow Speed 0.00 m/s, Angle 175.2 degrees
Time 0.58s: Wrist Speed 0.09 m/s, Elbow Speed 0.00 m/s, Angle 175.9 degrees
Time 0.61s: Wrist Speed 0.00 m/s, Elbow Speed 0.00 m/s, Angle 175.9 degrees
Time 0.65s: Wrist Speed 0.00 m/s, Elbow Speed 0.09 m/s, Angle 175.3 degrees
Time 0.68s: Wrist Speed 0.00 m/s, Elbow Speed 0.00 m/s, Angle 175.3 degrees
Time 0.71s: Wrist Speed 0.00 m/s, Elbow Speed 0.00 m/s, Angle 174.7 degrees
Time 0.74s: Wrist Speed 0.09 m/s, Elbow Speed 0.09 m/s, Angle 175.3 degrees
Time 0.77s: Wrist Speed 0.09 m/s, Elbow Speed 0.00 m/s, Angle 175.4 degrees
Time 0.81s: Wrist Speed 0.20 m/s, Elbow Speed 0.13 m/s, Angle 177.3 degrees
Time 0.84s: Wrist Speed 0.27 m/s, Elbow Speed 0.00 m/s, Angle 177.9 degrees
Time 0.87s: Wrist Speed 0.28 m/s, Elbow Speed 0.00 m/s, Angle 178.2 degrees
Time 0.90s: Wrist Speed 0.09 m/s, Elbow Speed 0.18 m/s, Angle 177.5 degrees
Time 0.94s: Wrist Speed 0.18 m/s, Elbow Speed 0.18 m/s, Angle 176.8 degrees
Time 0.97s: Wrist Speed 0.36 m/s, Elbow Speed 0.27 m/s, Angle 178.2 degrees
Time 1.00s: Wrist Speed 0.45 m/s, Elbow Speed 0.36 m/s, Angle 179.8 degrees
Time 1.03s: Wrist Speed 0.28 m/s, Elbow Speed 0.28 m/s, Angle 179.5 degrees
Time 1.06s: Wrist Speed 0.00 m/s, Elbow Speed 0.36 m/s, Angle 177.5 degrees
Time 1.10s: Wrist Speed 0.54 m/s, Elbow Speed 0.36 m/s, Angle 178.8 degrees
Time 1.13s: Wrist Speed 0.54 m/s, Elbow Speed 0.63 m/s, Angle 180.0 degrees
Time 1.16s: Wrist Speed 0.72 m/s, Elbow Speed 0.32 m/s, Angle 174.7 degrees
Time 1.19s: Wrist Speed 0.45 m/s, Elbow Speed 0.46 m/s, Angle 174.1 degrees
Time 1.23s: Wrist Speed 0.57 m/s, Elbow Speed 0.13 m/s, Angle 170.0 degrees
Time 1.26s: Wrist Speed 0.65 m/s, Elbow Speed 0.32 m/s, Angle 163.7 degrees
Time 1.29s: Wrist Speed 0.57 m/s, Elbow Speed 0.18 m/s, Angle 157.5 degrees
Time 1.32s: Wrist Speed 0.63 m/s, Elbow Speed 0.36 m/s, Angle 149.8 degrees
Time 1.35s: Wrist Speed 0.46 m/s, Elbow Speed 0.20 m/s, Angle 145.0 degrees
Time 1.39s: Wrist Speed 0.37 m/s, Elbow Speed 0.13 m/s, Angle 139.8 degrees
Time 1.42s: Wrist Speed 0.20 m/s, Elbow Speed 1.52 m/s, Angle 129.7 degrees
Time 1.45s: Wrist Speed 0.13 m/s, Elbow Speed 0.81 m/s, Angle 127.1 degrees
Time 1.48s: Wrist Speed 0.09 m/s, Elbow Speed 0.57 m/s, Angle 128.6 degrees
Time 1.52s: Wrist Speed 0.00 m/s, Elbow Speed 0.54 m/s, Angle 129.6 degrees
Time 1.55s: Wrist Speed 0.20 m/s, Elbow Speed 1.65 m/s, Angle 108.5 degrees
Time 1.58s: Wrist Speed 0.25 m/s, Elbow Speed 0.36 m/s, Angle 107.8 degrees
Time 1.61s: Wrist Speed 1.08 m/s, Elbow Speed 2.12 m/s, Angle 93.5 degrees
Time 1.65s: Wrist Speed 0.54 m/s, Elbow Speed 2.39 m/s, Angle 107.7 degrees
Time 1.68s: Wrist Speed 0.65 m/s, Elbow Speed 0.57 m/s, Angle 110.2 degrees
Time 1.71s: Wrist Speed 0.54 m/s, Elbow Speed 1.32 m/s, Angle 119.3 degrees
Time 1.74s: Wrist Speed 1.24 m/s, Elbow Speed 1.16 m/s, Angle 119.4 degrees
Time 1.77s: Wrist Speed 0.57 m/s, Elbow Speed 0.63 m/s, Angle 123.6 degrees
