Arm Movement Analysis Report
==================================================

Video Information:
Resolution: 1280x720
Frame Rate: 31.0 FPS
Total Frames: 127
File Size: 4.94 MB

Movement Data:
Max Wrist Speed: 11.65 m/s
Avg Wrist Speed: 1.49 m/s
Max Elbow Speed: 7.83 m/s
Avg Elbow Speed: 1.00 m/s
Max Angle: 180.0 degrees
Min Angle: 0.0 degrees

Time Point Analysis:
Time 0.00s: Wrist Speed 0.00 m/s, Elbow Speed 0.00 m/s, Wrist Acc 0.00 m/s², Angle 162.6 degrees
Time 0.03s: Wrist Speed 0.00 m/s, Elbow Speed 0.20 m/s, Wrist Acc 0.00 m/s², Angle 164.4 degrees
Time 0.06s: Wrist Speed 0.00 m/s, Elbow Speed 0.09 m/s, Wrist Acc 0.00 m/s², Angle 165.2 degrees
Time 0.10s: Wrist Speed 0.13 m/s, Elbow Speed 0.00 m/s, Wrist Acc 3.92 m/s², Angle 165.5 degrees
Time 0.13s: Wrist Speed 0.09 m/s, Elbow Speed 0.09 m/s, Wrist Acc -1.15 m/s², Angle 167.7 degrees
Time 0.16s: Wrist Speed 0.09 m/s, Elbow Speed 0.09 m/s, Wrist Acc 0.00 m/s², Angle 169.0 degrees
Time 0.19s: Wrist Speed 0.27 m/s, Elbow Speed 0.00 m/s, Wrist Acc 5.54 m/s², Angle 170.5 degrees
Time 0.23s: Wrist Speed 0.27 m/s, Elbow Speed 0.09 m/s, Wrist Acc 0.00 m/s², Angle 172.2 degrees
Time 0.26s: Wrist Speed 0.20 m/s, Elbow Speed 0.09 m/s, Wrist Acc -2.12 m/s², Angle 173.7 degrees
Time 0.29s: Wrist Speed 0.09 m/s, Elbow Speed 0.00 m/s, Wrist Acc -3.43 m/s², Angle 175.0 degrees
Time 0.32s: Wrist Speed 0.09 m/s, Elbow Speed 0.00 m/s, Wrist Acc 0.00 m/s², Angle 175.6 degrees
Time 0.35s: Wrist Speed 0.09 m/s, Elbow Speed 0.00 m/s, Wrist Acc -0.00 m/s², Angle 176.4 degrees
