Leg Angle Analysis Report
==================================================

Video Information:
Resolution: 1280x720
Frame Rate: 30.0 FPS
Total Frames: 223
File Size: 8.52 MB

Knee Angle Data (per frame):
 Time(s) | R-Knee Angle |  R-Knee Vel. | L-Knee Angle |  L-Knee Vel.
------------------------------------------------------------
   0.000 |       161.73 |        69.28 |       161.69 |       269.32
   0.033 |       164.04 |        56.98 |       170.67 |        85.68
   0.067 |       165.94 |        35.02 |       173.53 |       -78.71
   0.100 |       167.11 |       -30.80 |       170.90 |       -22.99
   0.133 |       166.08 |       135.76 |       170.14 |        72.77
   0.167 |       170.61 |         5.68 |       172.56 |         2.85
   0.200 |       170.80 |       -47.96 |       172.66 |        -5.97
   0.233 |       169.20 |       -79.50 |       172.46 |       -41.72
   0.267 |       166.55 |        17.62 |       171.07 |       -53.72
   0.300 |       167.13 |       -60.74 |       169.28 |        -5.48
   0.333 |       165.11 |        -0.46 |       169.09 |       -60.30
   0.367 |       165.09 |        65.43 |       167.08 |       -35.67
   0.400 |       167.28 |        64.78 |       165.90 |         9.26
   0.433 |       169.43 |       -34.61 |       166.20 |        13.65
   0.467 |       168.28 |        43.50 |       166.66 |       -18.48
   0.500 |       169.73 |        16.96 |       166.04 |        18.25
   0.533 |       170.30 |       -12.13 |       166.65 |        -8.57
   0.567 |       169.89 |       -22.92 |       166.37 |       -76.62
   0.600 |       169.13 |        41.64 |       163.81 |         9.27
   0.633 |       170.52 |         2.74 |       164.12 |        38.07
   0.667 |       170.61 |        49.57 |       165.39 |        22.07
   0.700 |       172.26 |        33.48 |       166.13 |        12.92
   0.733 |       173.38 |       -29.24 |       166.56 |       -25.41
   0.767 |       172.40 |        -6.79 |       165.71 |         5.57
   0.800 |       172.17 |       -34.39 |       165.89 |       105.51
   0.833 |       171.03 |        17.49 |       169.41 |        -4.12
   0.867 |       171.61 |       -30.95 |       169.27 |         2.95
   0.900 |       170.58 |       -12.35 |       169.37 |       -30.77
   0.933 |       170.17 |        32.72 |       168.35 |       -18.58
   0.967 |       171.26 |         6.00 |       167.73 |       -19.97
   1.000 |       171.46 |        -5.54 |       167.06 |       -19.16
   1.033 |       171.27 |         3.75 |       166.42 |        -0.57
   1.067 |       171.40 |         3.15 |       166.40 |       -14.72
   1.100 |       171.50 |        -0.09 |       165.91 |        -8.48
   1.133 |       171.50 |       -79.79 |       165.63 |       -36.30
   1.167 |       168.84 |        -1.78 |       164.42 |       -12.83
   1.200 |       168.78 |        -9.03 |       163.99 |        -2.93
   1.233 |       168.48 |       -11.08 |       163.89 |        20.50
   1.267 |       168.11 |       -20.28 |       164.58 |        17.04
   1.300 |       167.44 |       -17.19 |       165.15 |       -12.24
   1.333 |       166.86 |        18.05 |       164.74 |         7.68
   1.367 |       167.46 |        41.43 |       164.99 |        16.05
   1.400 |       168.85 |        54.00 |       165.53 |        15.98
   1.433 |       170.65 |        -4.23 |       166.06 |         5.55
   1.467 |       170.50 |         5.81 |       166.25 |         4.69
   1.500 |       170.70 |       -24.93 |       166.40 |       -14.57
   1.533 |       169.87 |        29.62 |       165.92 |         5.91
   1.567 |       170.85 |        12.33 |       166.11 |        20.72
   1.600 |       171.27 |        31.57 |       166.80 |        63.11
   1.633 |       172.32 |        -6.51 |       168.91 |        -3.21
   1.667 |       172.10 |         5.54 |       168.80 |       -10.10
   1.700 |       172.29 |        33.47 |       168.47 |         3.51
